Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,APRS,144.390000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
1,VE6FAR,431.000000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
2,VE6OIL,146.610000,-,0.600000,TSQL,114.8,114.8,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
3,VE6AQA,147.120000,+,0.600000,TSQL,110.9,110.9,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
4,VE6AUY,147.060000,-,0.600000,TSQL,110.9,110.9,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
5,VE6EHX,444.350000,+,5.000000,TSQL,110.9,110.9,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
6,VE6RCB,146.715000,-,0.600000,TSQL,110.9,110.9,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
7,VE6REC,147.180000,+,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
8,VE6RMT,147.360000,+,0.600000,TSQL,110.9,110.9,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
9,VE6RPC,147.210000,+,0.600000,TSQL,110.9,110.9,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
10,VE6RYC,146.850000,-,0.600000,TSQL,110.9,110.9,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
11,VE6RNQ,146.640000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
12,2M CALL,146.520000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
13,2M SSB,144.200000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
14,70CM CA,446.000000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
15,ARES 2M,146.595000,,0.000000,TSQL,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
16,ARES 70,446.125000,-,5.000000,TSQL,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
17,FRS 1,462.562500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
18,FRS 2,462.587500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
19,FRS 3,462.612500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
20,FRS 4,462.637500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
21,FRS 5,462.662500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
22,FRS 6,462.687500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
23,FRS 7,462.712500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
24,FRS 8,467.562500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
25,FRS 9,467.587500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
26,FRS 10,467.612500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
27,FRS 11,467.637500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
28,FRS 12,467.662500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
29,FRS 13,467.687500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
30,FRS 14,467.712500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
31,FRS 15,462.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
